time,open,high,low,close,volume,note
2020-11-12,15.9000,16.0300,15.6300,15.7400,11064919,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-13,15.7400,15.8700,15.6100,15.8600,13658763,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-16,15.8600,15.9000,15.5000,15.5600,13028838,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-17,15.5600,15.8900,15.1800,15.8900,20974379,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-18,15.7800,15.9800,15.7000,15.8200,14074067,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-19,15.8200,16.1400,15.6700,15.9500,17588172,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-20,15.8800,16.0300,15.6500,15.7500,11251074,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-23,15.6700,16.0000,15.5300,16.0000,17878181,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-24,16.0000,16.2700,15.9500,15.9900,16422949,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-25,16.1400,16.2700,15.9800,15.9800,19136087,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-26,16.0000,16.2600,16.0000,16.1800,16972928,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-27,16.0800,16.3100,15.8900,16.1600,14433397,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-11-30,16.2200,16.3500,15.9800,16.0900,17951867,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-01,16.1000,16.2500,16.0500,16.2000,16552845,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-02,16.2000,17.8200,16.1500,17.8200,91104590,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-03,18.4000,19.1500,18.1900,18.5500,125216491,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-04,19.1900,20.4100,19.1900,20.4100,192551797,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-07,21.6000,22.0000,20.4000,21.3800,185753927,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-08,21.4500,21.4700,20.4000,20.9300,116965106,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-09,20.6800,21.2000,20.2100,20.3400,100733971,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-10,20.2900,20.5200,19.7600,20.1000,85118856,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-11,20.0900,20.1700,19.3300,19.8800,85833286,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-14,20.0500,21.3500,19.6600,21.1200,128714538,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-15,20.8000,21.0600,19.1000,20.3100,115606777,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-16,20.1000,20.4000,19.7600,20.0300,47164447,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-17,19.8100,20.4600,19.2200,20.0400,51041851,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-18,20.5000,20.6800,19.5500,19.6500,55957134,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-21,19.7800,21.6200,19.6500,21.6200,63099943,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-22,22.2000,23.3000,21.6000,21.6200,120046754,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-23,22.4800,23.7800,21.8500,23.7800,92572937,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-24,24.7800,25.3100,22.8600,23.3100,111566119,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-25,23.3100,23.8800,22.7000,23.6200,76115547,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-28,23.1500,23.5000,22.4100,22.9900,64435893,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-29,22.8200,25.2900,22.7100,25.2900,84490784,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-30,24.9800,25.5000,23.7700,24.6600,94147822,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-12-31,25.0000,26.3300,24.5200,25.0000,90256320,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2021-01-04,25.1100,27.0900,25.0100,26.2800,84014665,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2021-01-05,26.1500,28.9100,25.7800,28.9100,94771356,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2021-01-06,28.9800,30.1800,28.2100,28.6800,99645681,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2021-01-07,28.1000,30.0700,27.9400,29.0800,79822473,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2021-01-08,29.0000,30.8000,28.2500,29.1400,84449148,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2021-01-11,29.5500,30.9600,26.9000,27.2400,112123764,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2021-01-12,26.8800,28.2800,26.8500,27.5800,82163861,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
