time,open,high,low,close,volume,note
2021-03-16,243.8800,250.7100,243.2000,248.0600,6143435,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-17,251.8500,263.3900,247.0000,258.2000,5498704,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-18,258.8800,263.3200,255.9700,258.6100,4143089,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-19,257.5000,263.2000,254.5400,258.4300,4666637,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-22,258.0000,258.0000,246.3100,255.5500,5260015,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-23,259.4000,259.6800,249.4900,253.5600,3122977,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-24,251.8500,253.0000,245.7000,245.7000,3245803,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-25,244.0000,257.0000,238.0800,254.0700,4978314,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-26,257.2300,260.9800,254.0000,257.9100,3966414,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-29,260.7200,268.0500,260.5200,262.8000,4594122,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-30,262.1100,267.4000,258.9000,259.1700,4901950,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-03-31,262.0100,262.6000,254.8100,256.7200,2903498,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-01,259.0000,277.4800,256.3600,273.3000,7229113,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-02,279.3400,292.0500,279.3400,286.9100,7602649,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-06,291.0000,291.6600,280.6000,286.1000,4311575,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-07,294.0000,299.9700,285.1800,294.2000,7933994,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-08,290.0000,305.8800,287.3300,297.4700,6220869,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-09,297.4200,299.8000,291.4900,293.1200,3802050,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-12,294.0000,302.0300,286.5100,289.7400,5238114,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-13,289.6800,293.0000,283.4200,287.7000,5129266,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-14,283.0000,286.7000,275.1000,282.8500,5147825,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-15,282.9000,283.1400,269.4400,275.7400,5441139,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-16,281.0000,284.0000,276.4100,279.7900,4326278,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-19,283.0000,295.0000,280.0000,293.2500,7523754,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-20,292.1100,298.8500,290.5600,292.0100,4117062,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-21,290.0100,294.1000,288.8800,291.8000,3338151,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-22,292.9000,296.4900,287.0200,295.2000,4083341,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-23,297.5000,306.9800,294.5300,298.5000,6436029,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-26,302.0000,306.6600,291.2600,291.2600,4729786,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-27,295.1200,297.2800,287.9200,293.7800,3930230,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-28,296.8700,301.5000,292.2400,298.9600,3971368,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-29,301.0000,310.9000,298.1500,304.9200,5411808,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-04-30,303.0000,308.8800,299.0800,302.5100,4321491,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-05-06,295.0000,301.9800,290.2700,293.1500,5021591,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-05-07,293.0000,296.0000,264.0000,264.2600,10754608,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2021-05-10,261.8100,270.0000,261.0000,266.7200,5478986,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
