time,open,high,low,close,volume,note
2024-07-10,1439.2500,1465.8800,1435.0000,1437.5900,2376322,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-11,1449.9700,1469.0000,1440.2100,1462.0900,2902014,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-12,1473.0100,1486.4000,1465.4500,1478.8200,2338634,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-15,1470.0000,1488.0000,1470.0000,1474.9000,1917626,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-16,1476.0000,1482.0000,1465.0500,1476.0000,2031644,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-17,1476.1000,1503.0000,1470.0200,1501.4000,3431101,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-18,1499.5000,1515.0000,1492.5300,1497.5100,2887039,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-19,1490.8100,1529.1800,1484.0100,1525.6200,3894291,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-22,1525.0300,1529.9800,1491.6500,1499.0000,2854321,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-23,1499.0000,1501.0000,1455.0000,1455.0000,3094396,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-24,1450.2000,1463.7000,1435.0000,1440.0200,2412255,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-25,1440.0200,1448.0000,1420.0100,1430.4900,2834656,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-26,1430.4900,1437.7200,1410.9000,1422.1900,3235379,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-29,1415.0000,1421.9900,1398.0000,1398.0200,3086907,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-30,1385.9800,1390.2700,1361.3000,1379.9900,5177904,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-07-31,1373.1000,1427.2700,1373.1000,1421.2800,4327232,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-01,1418.0000,1420.0000,1384.7000,1386.1600,3203810,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-02,1373.6000,1396.9700,1373.6000,1385.4500,2192769,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-05,1388.8800,1426.0000,1385.5200,1410.0100,3773607,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-06,1422.0000,1424.0000,1394.0100,1404.7000,2744433,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-07,1405.5000,1421.9900,1398.3000,1415.5000,2062221,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-08,1411.0000,1448.1800,1409.0000,1430.6900,2513082,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-09,1460.0300,1469.0000,1436.8000,1436.8000,3013849,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-12,1430.0000,1443.0000,1426.5800,1436.1000,1363203,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-13,1433.0000,1435.0000,1412.0100,1423.0100,1630843,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-14,1423.0100,1424.9000,1412.0200,1413.3000,1341431,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-15,1405.0300,1435.9900,1403.9500,1426.8900,2303897,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-16,1426.7900,1435.9200,1417.0100,1431.2000,1645470,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-19,1432.0000,1458.8800,1425.0000,1425.4400,2043279,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-20,1429.9000,1429.9300,1414.0000,1422.7200,1859138,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-08-21,1420.0000,1427.9800,1415.6900,1417.5800,1509165,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
