time,open,high,low,close,volume,note
2022-04-06,489.7800,495.9800,480.0100,486.3100,1445119,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-07,484.7700,493.3900,476.7000,479.0000,838973,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-08,476.2500,482.0000,468.5000,470.3000,1314653,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-11,468.3900,474.0000,463.0100,464.9900,1096980,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-12,466.0000,500.0000,466.0000,499.9800,2037767,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-13,496.1100,504.8100,490.5000,493.0500,1855514,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-14,506.0100,515.0000,496.9200,499.2100,2307197,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-15,499.2100,506.0000,483.3700,494.0000,1407989,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-18,488.0000,497.0000,485.0000,491.0700,956166,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-19,492.0000,493.0100,470.8500,473.0300,1289271,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-20,474.0000,492.5000,466.0000,480.0000,1378953,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-21,477.0000,505.4400,476.1100,489.4000,2167326,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-22,485.0100,496.6000,480.0000,491.8000,1443089,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-25,476.9000,488.5500,463.0100,465.0000,1535341,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-26,464.9900,503.0000,464.8600,486.9100,2425419,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-27,488.0000,509.4900,485.0100,505.3000,2637829,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-28,498.8800,516.0000,493.5700,501.1000,1953186,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-04-29,504.0000,518.6500,495.0200,517.5000,2122384,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-05,517.2500,517.2500,490.1500,499.9900,2317079,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-06,489.9900,495.6200,471.4000,472.3000,1968242,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-09,468.2900,473.9900,441.5000,448.1500,2076551,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-10,443.2100,468.5200,438.1200,463.6300,1918557,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-11,461.0000,481.9000,455.0000,469.0700,2077994,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-12,465.2900,482.7000,463.0000,473.1000,1434975,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-13,473.0000,476.8900,466.0100,469.0000,1130544,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-16,473.9900,489.9000,470.5000,481.2000,1801554,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-17,481.5000,490.0000,475.0000,486.9900,1517530,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-18,487.0000,489.0000,471.0000,474.6600,1566342,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-19,469.0000,481.4000,466.0000,476.6000,1221750,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-20,477.0000,506.8800,477.0000,503.9900,2569898,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-23,503.9700,506.0000,493.3400,498.5000,1201192,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-24,495.9900,497.0000,485.0000,487.0000,1405339,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-25,486.0000,493.9800,477.0700,485.0000,1183993,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-26,489.7900,489.8700,473.8800,485.0000,1289239,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-27,486.0000,503.0000,486.0000,489.3200,1444296,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2022-05-30,495.5500,516.5000,492.8000,503.8400,2184246,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
