time,open,high,low,close,volume,note
2011-04-13,6.0200,6.0800,5.9200,5.9800,25268641,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-14,5.9800,6.0900,5.9100,5.9900,23018292,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-15,6.0000,6.0600,5.7800,5.9500,19165993,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-18,5.9300,6.0700,5.8600,5.9100,21265032,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-19,5.8900,5.8900,5.6500,5.8300,27802942,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-20,5.7700,5.8500,5.7500,5.8000,14043915,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-21,5.8300,5.8500,5.7600,5.8500,6711814,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-22,5.8600,6.0300,5.7900,5.9400,22370552,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-25,6.0000,6.0200,5.9000,5.9000,16819433,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-26,5.9000,5.9000,5.7100,5.7200,8351767,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-27,5.7300,5.8400,5.7000,5.8200,10548701,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-28,5.8200,5.9200,5.7100,5.7300,9750586,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-04-29,5.7400,6.1400,5.7300,6.0900,34460915,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-05-03,6.0800,6.4400,6.0200,6.3400,41368581,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-05-04,6.3200,6.4000,6.1200,6.3300,31802486,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-05-05,6.2800,6.4200,6.1800,6.2900,26793386,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-05-06,6.2200,6.5600,6.1700,6.4700,28885719,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-05-09,6.5100,6.8300,6.4700,6.7900,50732551,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2011-05-10,6.8000,6.8500,6.5600,6.7100,31593702,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
